Sl no.,DistrictName,MarketName,Commodity,Variety,Grade,min_price,max_price,modal_price,PriceDate
1,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,09-Dec-20
2,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,20-Nov-20
3,Hassan,Arasikere,Tomato,Tomato,FAQ,750,750,750,07-Apr-20
4,Hassan,Arasikere,Tomato,Tomato,FAQ,1500,1500,1500,12-Mar-20
5,Hassan,Arasikere,Tomato,Tomato,FAQ,1500,1500,1500,06-Mar-20
6,Hassan,Arasikere,Tomato,Tomato,FAQ,800,1500,800,24-Feb-20
7,Hassan,Arasikere,Tomato,Tomato,FAQ,2000,2000,2000,11-Feb-20
8,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,30-Jan-20
9,Hassan,Arasikere,Tomato,Tomato,FAQ,800,800,800,28-Jan-20
10,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,21-Jan-20
11,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,13-Jan-20
12,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,09-Jan-20
13,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,01-Jan-20
14,Hassan,Arasikere,Tomato,Tomato,FAQ,1800,1800,1800,23-Dec-19
15,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,21-Dec-19
16,Hassan,Arasikere,Tomato,Tomato,FAQ,1700,1700,1700,20-Dec-19
17,Hassan,Arasikere,Tomato,Tomato,FAQ,1500,1500,1500,19-Dec-19
18,Hassan,Arasikere,Tomato,Tomato,FAQ,200,10000,975,13-Dec-19
19,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,22-Nov-19
20,Hassan,Arasikere,Tomato,Tomato,FAQ,1800,1800,1800,31-Oct-19
21,Hassan,Arasikere,Tomato,Tomato,FAQ,540,540,540,04-Oct-19
22,Hassan,Arasikere,Tomato,Tomato,FAQ,432,432,432,07-Sep-19
23,Hassan,Arasikere,Tomato,Tomato,FAQ,450,450,450,06-Sep-19
24,Hassan,Arasikere,Tomato,Tomato,FAQ,563,563,563,05-Sep-19
25,Hassan,Arasikere,Tomato,Tomato,FAQ,563,563,563,03-Sep-19
26,Hassan,Arasikere,Tomato,Tomato,FAQ,563,563,563,31-Aug-19
27,Hassan,Arasikere,Tomato,Tomato,FAQ,562,562,562,29-Aug-19
28,Hassan,Arasikere,Tomato,Tomato,FAQ,600,600,600,28-Aug-19
29,Hassan,Arasikere,Tomato,Tomato,FAQ,700,700,700,16-Aug-19
30,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,06-Aug-19
31,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,02-Aug-19
32,Hassan,Arasikere,Tomato,Tomato,FAQ,725,1000,1000,01-Aug-19
33,Hassan,Arasikere,Tomato,Tomato,FAQ,800,800,800,31-Jul-19
34,Hassan,Arasikere,Tomato,Tomato,FAQ,700,700,700,26-Jul-19
35,Hassan,Arasikere,Tomato,Tomato,FAQ,2000,2000,2000,22-Jul-19
36,Hassan,Arasikere,Tomato,Tomato,FAQ,2000,2000,2000,13-May-19
37,Hassan,Arasikere,Tomato,Tomato,FAQ,1000,1000,1000,22-Apr-19
